Location Name,Year,Mo,Dy,Latitude,Longitude,Total Deaths,Mag
MEXICO,1900,1,20,20,-105,NA,7.3
MEXICO:  NEAR COAST OF JALISCO,1900,5,16,20,-105,NA,6.9
MEXICO:  GUERRERO,1902,1,16,17.617,-99.717,2,7
"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",1902,9,23,16.6,-92.6,NA,7.8
MEXICO:  BAJA CALIFORNIA,1902,12,12,29,-114,NA,7.8
MEXICO:  OFF COAST OF GUERRERO,1903,1,14,15,-98,NA,7.7
MEXICO:  JALISCO,1905,5,9,20.3,-103.4,NA,6.3
MEXICO:  REVILLA GIGEDO ISLANDS,1906,4,10,19,-113.8,NA,7.5
MEXICO:  GUERRERO,1907,4,15,17,-100,8,8.3
MEXICO:  GULF OF CALIFORNIA,1907,10,16,28,-112.5,NA,7.7
MEXICO:  GUERRERO,1908,3,26,18,-99,NA,8.1
MEXICO:  GUERRERO,1908,3,27,17,-101,NA,7.5
MEXICO:  ACAPULCO,1909,7,30,16.8,-99.8,NA,7.8
"MEXICO:  GUERRERO,MICHOACAN",1909,10,31,16.643,-100.966,NA,7.1
MEXICO:  OAXACA,1910,9,24,16.357,-98.005,NA,6.5
"MEXICO: COLIMA, JALISCO, MEXICO CITY",1911,6,7,18.362,-102.471,NA,7.6
MEXICO:  NEAR COAST OF GUERRERO,1911,12,16,17,-100.7,NA,7.6
MEXICO:  GUADALAJARA,1912,5,8,20.4,-103.2,NA,6
MEXICO:  ACAMBAY-TIXMADEJE,1912,9,19,19.9,-99.9,NA,7
"MEXICO:  CENTRAL, ACAMBAY, TIXMADEJE",1912,11,19,19.561,-99.884,NA,6.7
MEXICO:  CHIAPAS,1914,3,30,16.8,-92.2,NA,7.5
MEXICO:  NEAR OAXACA COAST,1917,12,29,15,-97,NA,7.7
"MEXICO:  VERACRUZ: COZAUTLAN, PUEBLA: PATLANALA",1920,1,3,19.26,-96.97,648,7.8
MEXICO:  NEAR COAST OF JALISCO,1921,4,30,19.7,-104.3,NA,7.7
S. MEXICO,1925,11,16,18.5,-107,NA,7
"CALIFORNIA, MEXICO",1927,1,1,32.5,-115.5,1,5.8
"MEXICO:  OAXACA,COLIMA,PUEBLA,GUERRERO,MORELOS",1928,2,10,18.362,-98.194,NA,6.2
MEXICO:  OAXACA,1928,3,22,15.67,-96.1,NA,7.7
MEXICO:  OAXACA,1928,4,16,17.75,-97.1,NA,7.8
MEXICO:  OAXACA,1928,6,17,16.028,-97.036,4,7.7
MEXICO:  OAXACA,1928,10,9,16,-97,NA,7.6
MEXICO:  OAXACA,1931,1,15,16.1,-96.8,NA,7.9
MEXICO:  NEAR COAST OF JALISCO,1932,6,3,19.623,-103.919,400,8.1
"MEXICO:  CENTRAL, COLIMA",1932,6,18,19.081,-103.631,NA,7.8
MEXICO:  CENTRAL,1932,6,22,19.242,-104.383,75,7.7
MEXICO:  COLIMA,1933,2,20,18.68,-104.82,NA,4
MEXICO:  GUERRERO,1933,5,8,17.404,-100.908,NA,6.7
"MEXICO: GUANAJUATO, QUERETARO",1934,7,14,20.647,-100.754,NA,4.8
MEXICO:  JALISCO,1934,11,30,18.5,-105.5,NA,7
"MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ",1937,7,26,18.523,-95.878,34,7.2
MEXICO:  GUERRERO:  OMETEPEC,1937,12,23,16.656,-98.338,4,7.4
CALIFORNIA; MEXICO,1940,5,19,32.733,-115.5,9,7.2
"MEXICO:  MICHOACAN, COLIMA, JALISCO",1941,4,15,18.68,-102.989,NA,7.6
MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS,1943,2,22,17.397,-101.37,5,7.4
MEXICO:  MARIA MADRE ISLAND,1948,12,4,21.182,-106.818,4,6.6
MEXICO:  GUERRERO,1950,11,17,16.5,-100.4,NA,6.8
MEXICO:  ACAPULCO,1950,12,14,16.48,-98.22,NA,7.5
