Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
-2150,NA,NA,NA,NA,NA,NA,NA,"JORDAN:  BAB-A-DARAA,AL-KARAK",31.1,35.5,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2000,NA,NA,NA,NA,NA,NA,NA,TURKMENISTAN:  W,38,58.2,18,7.1,10,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
-1250,NA,NA,NA,NA,NA,NA,NA,ISRAEL:  ARIHA (JERICHO),32,35.5,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1050,NA,NA,NA,NA,NA,NA,NA,JORDAN:  SW:  TIMNA COPPER MINES,29.6,35,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-479,NA,NA,NA,NA,NA,9,NA,GREECE:  MACEDONIA,39.7,23.3,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-426,6,NA,NA,NA,NA,10,NA,GREECE:  EUBOEA,38.9,22.7,NA,7.1,10,2500,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA
-400,NA,NA,NA,NA,NA,NA,NA,"IRAN:  REY,EIVAN-E-KAY",35.5,51.8,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-373,NA,NA,NA,NA,NA,11,NA,GREECE,38.25,22.25,NA,7.3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-330,NA,NA,NA,NA,NA,12,NA,GREECE:  AEGEAN SEA,40,25,NA,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-250,NA,NA,NA,NA,NA,NA,NA,KYRGYZSTAN:  CHIGUCHIN,42.7,77.5,20,6.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-227,NA,NA,NA,NA,NA,3092,NA,GREECE:  DODECANESE ISLANDS,36.3,28.3,100,7.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-193,2,NA,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE:  LINTAO,35.4,103.9,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-186,2,22,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,33.8,105.6,NA,7,NA,760,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA
-70,6,1,NA,NA,NA,NA,NA,CHINA:  SHANDONG PROVINCE,36.3,119,NA,7,9,6000,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA
-63,10,NA,NA,NA,NA,NA,NA,RUSSIA:  PANTIKAPEY,45.2,36.6,20,6.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,NA,NA,4263,NA,PORTUGAL:  CABO SAN VICENTE,36,-10.7,NA,8.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,NA,NA,3714,NA,ALBANIA:  DYRRACHIUM,41.3,19.5,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,NA,NA,3728,NA,GEORGIA:  DYOSCURIA [SUKHUMI],43,41,NA,5.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-31,9,2,NA,NA,0,NA,NA,"ISRAEL:  QUMRAN,ARIHA (JERICHO)",32,35.5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,NA,NA,NA,NA,NA,CHINA:  SICHUAN:  YIBIN,28.8,104.6,NA,5.5,7,13,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,0,NA,NA,TURKMENISTAN:  NISA,38,58.3,18,7.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,0,NA,NA,SOUTH KOREA:  KWANGJU,35.9,126.5,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,10,23,NA,NA,NA,NA,NA,CHINA:  HENAN PROVINCE:  NANYANG,33,112.5,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,23,NA,GREECE:  CRETE,35.2,25.1,NA,6.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,0,NA,NA,SOUTH KOREA:  KWANGJU,35.9,126.5,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,SOUTH KOREA:  KYONGJU,35.8,129.2,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA,2284,NA,UKRAINE:  BLACK SEA,44.7,33.3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,12,13,NA,NA,NA,4396,NA,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,NA,7.5,11,260000,NA,NA,NA,NA,NA,260000,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,3096,NA,"TURKEY: NICOMEDIA, NICAEA",40.77,29.92,NA,7.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA,3583,NA,SOUTH KOREA:  KYONGJU,35.8,129.2,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2,23,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE:  GANGU,34.7,105.4,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,3,1,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,35.8,103.5,NA,6.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,27,NA,GREECE:  RHODES,36.7,28,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,10,NA,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,34.7,105.3,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,9,NA,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,39.4,99.5,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,NA,NA,0,NA,NA,"ITALY:  VERONA,BENACO",45.3,11,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,7,NA,NA,NA,NA,NA,NA,CHINA:  ANHUI PROVINCE:  SHOUXIAN,32.6,116.8,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
